Nationality;Year;Value
Brunei Darussalam;31/12/2000;13163
Brunei Darussalam;31/12/2001;13828
Brunei Darussalam;31/12/2002;14957
Brunei Darussalam;31/12/2003;10680
Brunei Darussalam;31/12/2004;13819
Brunei Darussalam;31/12/2005;15454
Brunei Darussalam;31/12/2006;11154
Brunei Darussalam;31/12/2007;11594
Brunei Darussalam;31/12/2008;10536
Brunei Darussalam;31/12/2009;13668
Brunei Darussalam;31/12/2010;35874
Brunei Darussalam;31/12/2011;38679
Brunei Darussalam;31/12/2012;16423
Brunei Darussalam;31/12/2013;16932
Brunei Darussalam;31/12/2014;19078
Brunei Darussalam;31/12/2015;18262
Brunei Darussalam;31/12/2016;23693
Brunei Darussalam;31/12/2017;23455
Brunei Darussalam;31/12/2018;17279
Brunei Darussalam;31/12/2019;19278
Malaysia;31/12/2000;408562
Malaysia;31/12/2001;409231
Malaysia;31/12/2002;397983
Malaysia;31/12/2003;407958
Malaysia;31/12/2004;482059
Malaysia;31/12/2005;564321
Malaysia;31/12/2006;699124
Malaysia;31/12/2007;799990
Malaysia;31/12/2008;1009722
Malaysia;31/12/2009;1041053
Malaysia;31/12/2010;1171737
Malaysia;31/12/2011;1173351
Malaysia;31/12/2012;1269089
Malaysia;31/12/2013;1380686
Malaysia;31/12/2014;1418256
Malaysia;31/12/2015;1431728
Malaysia;31/12/2016;1541197
Malaysia;31/12/2017;2121888
Malaysia;31/12/2018;2503344
Malaysia;31/12/2019;2980753
Philippines;31/12/2000;48784
Philippines;31/12/2001;52487
Philippines;31/12/2002;61711
Philippines;31/12/2003;54549
Philippines;31/12/2004;66679
Philippines;31/12/2005;100176
Philippines;31/12/2006;187711
Philippines;31/12/2007;192868
Philippines;31/12/2008;195675
Philippines;31/12/2009;196429
Philippines;31/12/2010;171181
Philippines;31/12/2011;210029
Philippines;31/12/2012;236866
Philippines;31/12/2013;247573
Philippines;31/12/2014;248182
Philippines;31/12/2015;267700
Philippines;31/12/2016;298910
Philippines;31/12/2017;308977
Philippines;31/12/2018;217874
Philippines;31/12/2019;260980
Singapore;31/12/2000;1301570
Singapore;31/12/2001;1322703
Singapore;31/12/2002;1288496
Singapore;31/12/2003;1415563
Singapore;31/12/2004;1619572
Singapore;31/12/2005;1066461
Singapore;31/12/2006;1164082
Singapore;31/12/2007;1160200
Singapore;31/12/2008;1197267
Singapore;31/12/2009;1138071
Singapore;31/12/2010;1206360
Singapore;31/12/2011;1324839
Singapore;31/12/2012;1324706
Singapore;31/12/2013;1432060
Singapore;31/12/2014;1559044
Singapore;31/12/2015;1594102
Singapore;31/12/2016;1515701
Singapore;31/12/2017;1554119
Singapore;31/12/2018;1768744
Singapore;31/12/2019;1934445
Thailand;31/12/2000;36914
Thailand;31/12/2001;41364
Thailand;31/12/2002;43486
Thailand;31/12/2003;33762
Thailand;31/12/2004;49333
Thailand;31/12/2005;73936
